Model,Val_AUC,Val_F1
densenet,0.6478427819080527,0.23021252373413262
resnet,0.6518371198012615,0.20902551919345308
efficientnet,0.6688583588822213,0.2008768808866659
mobilenet,0.6733127460028154,0.2004730633914204
